Continent,Species Distribution,Status,Order,FAMILY,Genus,Species,binomial,Unique ID,LogMass,Combined Mass (g),Comments: endangerment,Ref for Mass,IUCN status,Total Length,tail length,Ref for Length,comment,comment,trophic,ref for trophic,habitat mode
AF,,extant,Carnivora,Mustelidae,Aonyx,capensis,Aonyx capensis,AF_extant_Aonyx capensis,4.279,18999.842,,63_ 70,,,,,,,invert/piscivore,t1,aquatic
AF,,extant,Carnivora,Mustelidae,Aonyx,congicus,Aonyx congicus,AF_extant_Aonyx congicus,4.377,23800.167,hunting_ persecution_ habitat loss,63_ 70,DD,,,,,,piscivore,t1,aquatic
AF,,extant,Carnivora,Mustelidae,Lutra,maculicollis,Lutra maculicollis,AF_extant_Lutra maculicollis,3.602,4000,hunting_ persecution_ habitat loss,60,VU,,,,,,piscivore,t1,aquatic
AF,,extant,Carnivora,Mustelidae,Lutra,lutra,Lutra lutra,AF_extant_Lutra lutra,4.041,10999.932,hunting_ habitat loss_ pollution_ accidental mortality,65,VU,,,,,,piscivore,t1,aquatic
AF,,extant,Carnivora,Viverridae,Osbornictis,piscivora,Osbornictis piscivora,AF_extant_Osbornictis piscivora,3.477,2999.991,habitat loss,65,DD,,,,,,piscivore,t1,aquatic
AF,,extant,Primates,Cercopithecidae,Macaca,sylvanus,Macaca sylvanus,AF_extant_Macaca sylvanus,3.845,7000.032,habitat loss,65,VU,,,,,,Browse,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Procolobus,verus,Procolobus verus,AF_extant_Procolobus verus,3.602,4000,hunting_ habitat loss,65,LR,,,,,,Browse,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Colobus,guereza,Colobus guereza,AF_extant_Colobus guereza,4.025,10600,,60_ 130,,1390,777.5,130,WT:11000,,Browse,t1,arboreal
AF,Cameroon,extant,Primates,Cercopithecidae,Procolobus,preussi,Procolobus preussi,AF_extant_Procolobus preussi,3.989,9750,,70,,,,,,,Browse,t1,arboreal
AF,NE Angola_ S & E Zaire_ Rwanda_ Burundi_ NE Zambia_ SE Kenya_ E Tanzania,extant,Primates,Cercopithecidae,Colobus,angolensis,Colobus angolensis,AF_extant_Colobus angolensis,3.993,9850,female:9000_ male:10700,74,,,,,,,Browse,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Colobus,satanas,Colobus satanas,AF_extant_Colobus satanas,3.635,4319.963,hunting_ habitat loss,60,VU,,,,,,Browse,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Procolobus,badius,Procolobus badius,AF_extant_Procolobus badius,3.954,8999.948,hunting_ habitat loss,-999,EN,,,,,,Browse,t1,arboreal
AF,Equatorial Guinea_ Zaire_ Uganda_ Tanzania,extant,Primates,Cercopithecidae,Procolobus,pennantii,Procolobus pennantii,AF_extant_Procolobus pennantii,4.037,10896,hunting_ habitat loss,107,EN,,,,,,Browse,t1,arboreal
AF,Kenya,extant,Primates,Cercopithecidae,Procolobus,rufomitratus,Procolobus rufomitratus,AF_extant_Procolobus rufomitratus,3.903,8000,hunting_ habitat loss,70,CR,,,,,,Browse,t1,arboreal
AF,,extant,Rodentia,Anomaluridae,Anomalurus,derbianus,Anomalurus derbianus,AF_extant_Anomalurus derbianus,2.813,649.995,,65,,590,284,130,,,browse/frug,t1,arboreal
AF,,extant,Rodentia,Anomaluridae,Anomalurus,pelii,Anomalurus pelii,AF_extant_Anomalurus pelii,3.248,1769.987,habitat loss,60,VU,824,403,263,,,browse/frug,t1,arboreal
AF,Zaire,extant,Rodentia,Anomaluridae,Anomalurus,pusillus,Anomalurus pusillus,AF_extant_Anomalurus pusillus,2.398,250,,70,,367,136,263,,,browse/frug,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Colobus,polykomos,Colobus polykomos,AF_extant_Colobus polykomos,3.996,9917.451,hunting_ habitat loss,60_ 130,VU,1515,880,130,WT:10000,,browse/frug,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Cercopithecus,hamlyni,Cercopithecus hamlyni,AF_extant_Cercopithecus hamlyni,3.837,6875,habitat loss,70,LR,,,,,,browse/frug,t1,arboreal
AF,,extant,Carnivora,Viverridae,Poiana,richardsonii,Poiana richardsonii,AF_extant_Poiana richardsonii,2.699,500,,60,,,,,,,Carn,t1,arboreal
AF,,extant,Carnivora,Viverridae,Civettictis,civetta,Civettictis civetta,AF_extant_Civettictis civetta,4.079,11999.966,,63_ 70,,,,,,,carn/frug,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Miopithecus,talapoin,Miopithecus talapoin,AF_extant_Miopithecus talapoin,3.097,1250,,60,,,,,,,frug ,t1,arboreal
AF,Sierra leone to E Zaire,extant,Rodentia,Anomaluridae,Idiurus,macrotis,Idiurus macrotis,AF_extant_Idiurus macrotis,1.477,30,habitat loss,70,LR,297.5,120.5,263,,,frug ,t1,arboreal
AF,Cameroon_ Equatorial Guinea_ Gabon_ Central African Republic,extant,Rodentia,Anomaluridae,Zenkerella,insignis,Zenkerella insignis,AF_extant_Zenkerella insignis,2.301,200,unknown,70,LR,,,,,,frug ,t1,arboreal
AF,,extant,Rodentia,Sciuridae,Heliosciurus,ruwenzorii,Heliosciurus ruwenzorii,AF_extant_Heliosciurus ruwenzorii,2.464,290.998,,63_ 70,,,,,,,frug ,t1,arboreal
AF,SE Kenya_ NE Tanzania,extant,Rodentia,Sciuridae,Heliosciurus,undulatus,Heliosciurus undulatus,AF_extant_Heliosciurus undulatus,2.541,347.333,,70_ 125,,,,,,,frug ,t1,arboreal
AF,,extant,Rodentia,Sciuridae,Heliosciurus,punctatus,Heliosciurus punctatus,AF_extant_Heliosciurus punctatus,2.241,174,,60,,,,,,,frug ,t1,arboreal
AF,,extant,Rodentia,Sciuridae,Heliosciurus,rufobrachium,Heliosciurus rufobrachium,AF_extant_Heliosciurus rufobrachium,2.57,371.501,,60,,452,235,130,,,frug ,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Cercopithecus,lhoesti,Cercopithecus lhoesti,AF_extant_Cercopithecus lhoesti,3.73,5375.019,habitat loss,65,LR,,,,,,frug ,t1,arboreal
AF,,extant,Rodentia,Sciuridae,Protoxerus,stangeri,Protoxerus stangeri,AF_extant_Protoxerus stangeri,2.793,621.498,,60,,582,308,130,,,frug ,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Cercopithecus,mona,Cercopithecus mona,AF_extant_Cercopithecus mona,3.624,4208.333,,65_ 130,,1312,767,130,WT:4000,,frug ,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Lophocebus,albigena,Lophocebus albigena,AF_extant_Lophocebus albigena,3.886,7690.065,hunting_ habitat loss,60,LR,,,,,,frug ,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Cercopithecus,sclateri,Cercopithecus sclateri,AF_extant_Cercopithecus sclateri,3.528,3375,hunting_ habitat loss,70,EN,,,,,,frug ,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Cercopithecus,wolfi,Cercopithecus wolfi,AF_extant_Cercopithecus wolfi,3.602,4000,,70,,,,,,,frug ,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Cercopithecus,solatus,Cercopithecus solatus,AF_extant_Cercopithecus solatus,3.813,6500,hunting_ habitat loss,70,VU,,,,,,frug ,t1,arboreal
AF,,extant,Rodentia,Sciuridae,Protoxerus,aubinnii,Protoxerus aubinnii,AF_extant_Protoxerus aubinnii,2.544,350,,70,,,,,,,frug ,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Cercopithecus,erythrotis,Cercopithecus erythrotis,AF_extant_Cercopithecus erythrotis,3.593,3918.333,hunting_ habitat loss,65_ 130,VU,1162,695,130,WT:4250,,frug ,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Cercocebus,galeritus,Cercocebus galeritus,AF_extant_Cercocebus galeritus,3.894,7835.018,hunting_ habitat loss,60,LR,,,,,,frug ,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Cercopithecus,pogonias,Cercopithecus pogonias,AF_extant_Cercopithecus pogonias,3.576,3764.957,,60,,,,,,,frug ,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Cercocebus,agilis,Cercocebus agilis,AF_extant_Cercocebus agilis,3.903,8000,female:5000-7000_ male:7000-13000,70,,,,,,,frug ,t1,arboreal
AF,,extant,Rodentia,Sciuridae,Epixerus,wilsoni,Epixerus wilsoni,AF_extant_Epixerus wilsoni,2.589,388,unknown,68,LR,,,,,,frug ,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Cercocebus,torquatus,Cercocebus torquatus,AF_extant_Cercocebus torquatus,3.889,7749.97,hunting_ habitat loss,65,LR,1286,684,130,WT:10000,,frug ,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Cercopithecus,campbelli,Cercopithecus campbelli,AF_extant_Cercopithecus campbelli,3.613,4099.964,,60,,,,,,,frug ,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Cercopithecus,cephus,Cercopithecus cephus,AF_extant_Cercopithecus cephus,3.542,3484.978,,60,,,,,,,frug ,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Cercopithecus,diana,Cercopithecus diana,AF_extant_Cercopithecus diana,3.621,4175.034,hunting_ habitat loss,65,EN,,,,,,frug ,t1,arboreal
AF,,extant,Rodentia,Sciuridae,Epixerus,ebii,Epixerus ebii,AF_extant_Epixerus ebii,2.772,591.998,unknown,60,LR,565,290,263,,,frug ,t1,arboreal
AF,,extant,Rodentia,Sciuridae,Heliosciurus,gambianus,Heliosciurus gambianus,AF_extant_Heliosciurus gambianus,2.47,294.999,,63_ 70,,390,210,130,,,frug ,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Chlorocebus,aethiops,Chlorocebus aethiops,AF_extant_Chlorocebus aethiops,3.619,4155,female:3560_ male: 4750,74,,,,,,,frug ,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Cercopithecus,petaurista,Cercopithecus petaurista,AF_extant_Cercopithecus petaurista,3.443,2774.981,,65,,,,,,,frug ,t1,arboreal
AF,,extant,Rodentia,Anomaluridae,Idiurus,zenkeri,Idiurus zenkeri,AF_extant_Idiurus zenkeri,2,100,habitat loss,116,LR,162,92,263,,,frug ,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Cercopithecus,mitis,Cercopithecus mitis,AF_extant_Cercopithecus mitis,3.699,5000,,65,,,,,,,frug/browse ,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Cercopithecus,dryas,Cercopithecus dryas,AF_extant_Cercopithecus dryas,3.488,3075,hunting_ habitat loss,70,DD,,,,,,frug/browse ,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Cercopithecus,preussi,Cercopithecus preussi,AF_extant_Cercopithecus preussi,3.72,5250,hunting_ habitat loss,70,EN,,,,,,frug/browse ,t1,arboreal
AF,,extant,Rodentia,Anomaluridae,Anomalurus,beecrofti,Anomalurus beecrofti,AF_extant_Anomalurus beecrofti,2.59,389,,60,,491,213,130,,,frug/browse ,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Cercopithecus,nictitans,Cercopithecus nictitans,AF_extant_Cercopithecus nictitans,3.764,5803.345,,60_ 130,,1600,975,130,WT:6000,,frug/browse ,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Cercopithecus,neglectus,Cercopithecus neglectus,AF_extant_Cercopithecus neglectus,3.739,5479.993,,60,,,,,,,frug/browse ,t1,arboreal
AF,Malawi_ Tanzania_ Mozambique_ SE Zimbabwe,extant,Rodentia,Sciuridae,Heliosciurus,mutabilis,Heliosciurus mutabilis,AF_extant_Heliosciurus mutabilis,2.591,390,,106,,,,,,,frug/browse ,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Erythrocebus,patas,Erythrocebus patas,AF_extant_Erythrocebus patas,3.908,8090,,60_ 130,,1200,577,130,WT:8500,,frug/browse ,t1,arboreal
AF,,extant,Carnivora,Viverridae,Nandinia,binotata,Nandinia binotata,AF_extant_Nandinia binotata,3.301,2000,,63_ 70,,,,,,,frug/carn,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Cercopithecus,ascanius,Cercopithecus ascanius,AF_extant_Cercopithecus ascanius,3.55,3550,female:2900_ male:4200,74,,,,,,,frug/ginsect,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Cercopithecus,erythrogaster,Cercopithecus erythrogaster,AF_extant_Cercopithecus erythrogaster,3.398,2500,hunting_ habitat loss,65,EN,1138.5,720,130,,,frug/ginsect,t1,arboreal
AF,,extant,Primates,Cercopithecidae,Allenopithecus,nigroviridis,Allenopithecus nigroviridis,AF_extant_Allenopithecus nigroviridis,3.677,4749.961,hunting_ habitat loss,56,LR,,,,,,frug/ginsect,t1,arboreal
AF,,extant,Primates,Loridae,Perodicticus,potto,Perodicticus potto,AF_extant_Perodicticus potto,3.041,1099.993,,60130,,377,50,130,WT:1100,,frug/ginsect,t1,arboreal
AF,,extant,Rodentia,Sciuridae,Myosciurus,pumilio,Myosciurus pumilio,AF_extant_Myosciurus pumilio,2.217,164.999,habitat loss,60,VU,,,,,,ginsect,t1,arboreal
AF,,extant,Primates,Loridae,Arctocebus,aureus,Arctocebus aureus,AF_extant_Arctocebus aureus,2.371,235,hunting_ habitat loss,70,LR,,,,,,ginsect,t1,arboreal
AF,,extant,Primates,Loridae,Arctocebus,calabarensis,Arctocebus calabarensis,AF_extant_Arctocebus calabarensis,2.322,210,hunting_ habitat loss ,60130,LR,259,15,130,WT:210,,ginsect/frug,t1,arboreal
AF,,extant,Sirenia,Trichechidae,Trichechus,senegalensis,Trichechus senegalensis,AF_extant_Trichechus senegalensis,5.657,454000,,107,,,,,,,Graze ,wp,marine
AF,Mediterranean and Black Seas_ NW Africa to Cape Blanc,extant,Carnivora,Phocidae,Monachus,monachus,Monachus monachus,AF_extant_Monachus monachus,5.439,275000,hunting_ habitat loss_ restricted range_ parasites/pathogens_ accidental mortality,68,CR,,,,,,piscivore/invert,wp,marine- births on land
AF,,extant,Rodentia,Muridae,Nannospalax,ehrenbergi,Nannospalax ehrenbergi,AF_extant_Nannospalax ehrenbergi,2.246,175.999,,60,,,,,,,Browse,t1,terr
AF,,extant,Artiodactyla,Bovidae,Madoqua,kirkii,Madoqua kirkii,AF_extant_Madoqua kirkii,3.724,5300.05,,63_ 70,,,,,,,Browse,t1,terr
AF,,extant,Artiodactyla,Bovidae,Raphicerus,melanotis,Raphicerus melanotis,AF_extant_Raphicerus melanotis,4.011,10249.909,restricted range,60,LR,,,,,,Browse,t1,terr
AF,,extinct,Artiodactyla,Bovidae,Gazella,atlantica,Gazella atlantica,AF_extinct_Gazella atlantica,4.648,44500,,1_ 2,,,,,,,Browse,same as congeners,terr
AF,,extant,Lagomorpha,Leporidae,Bunolagus,monticularis,Bunolagus monticularis,AF_extant_Bunolagus monticularis,3.243,1750.008,habitat loss_ restricted range,65,EN,,,,,,Browse,t1,terr
AF,,historical,Artiodactyla,Bovidae,Gazella,rufina,Gazella rufina,AF_historical_Gazella rufina,4.602,40000,???,3_ 4,EX,,,,,,Browse,same as congeners,terr
AF,,extant,Rodentia,Muridae,Psammomys,obesus,Psammomys obesus,AF_extant_Psammomys obesus,2.175,149.575,,75_ 128,,,,,,,Browse,t1,terr
AF,,extant,Artiodactyla,Bovidae,Tragelaphus,strepsiceros,Tragelaphus strepsiceros,AF_extant_Tragelaphus strepsiceros,5.329,213501.043,,63_ 70,LR,,,,,,Browse,t1,terr
