,changed,Unique.ID,Continent,Species.Distribution,Status,cal.last.occurrence,X14C.last.occurrence,X14C.error,Order,FAMILY,Genus,Species,X,binomial.x,LogMass,Combined.Mass..g.,Comments,Reference,IUCN.status,comment,comment.1,Home.Range.Size,units.for.home.range.sizse,reference.for.home.range,binomial.y,trophic,ref.for.trophic,habitat.mode
1,"Species name change. Listing all species in the genus: asinus, burchellii, caballus, grevyi, hemionus, kiang, quagga, zebra",_extinct_Equus alaskae,,,extinct,,NA,NA,Perissodactyla,Equidae,Equus,alaskae,small horse - not stilt or stout legged,Equus alaskae,5.571,372000,,286,,,,,NA,NA,NA,NA,NA,NA
2,"Species name change. Listing all species in the genus: asinus, burchellii, caballus, grevyi, hemionus, kiang, quagga, zebra",_extinct_Equus complicatus,,,extinct,,NA,NA,Perissodactyla,Equidae,Equus,complicatus,a large stout-legged horse,Equus complicatus,5.602,4.00E+05,,286,,,,,NA,NA,NA,NA,NA,NA
3,"Species name change. Listing all species in the genus: asinus, burchellii, caballus, grevyi, hemionus, kiang, quagga, zebra",_extinct_Equus conversidens,,,extinct,,NA,NA,Perissodactyla,Equidae,Equus,conversidens,Mexican horse (a medium stout-legged horse),Equus conversidens,5.486,306000,,286,,,,,NA,NA,NA,NA,NA,NA
4,"Genus level change. Taxonomy possibilities are: DIPROTODONTIA Macropodidae Macropus giganteus, RODENTIA Spalacidae Spalax giganteus, CHIROPTERA Pteropodidae Pteropus giganteus",_extinct_Equus giganteus,,,extinct,,NA,NA,Perissodactyla,Equidae,Equus,giganteus,,Equus giganteus,5.602,4.00E+05,,286,,,,,NA,NA,NA,NA,NA,NA
5,"Species name change. Listing all species in the genus: asinus, burchellii, caballus, grevyi, hemionus, kiang, quagga, zebra",_extinct_Equus laurentius,,,extinct,,NA,NA,Perissodactyla,Equidae,Equus,laurentius,,Equus laurentius,5.812,648000,,286,,,,,NA,NA,NA,NA,NA,NA
6,"Genus level change. Taxonomy possibilities are: PRIMATES Lemuridae Hapalemur occidentalis, PRIMATES Indridae Avahi occidentalis, RODENTIA Muridae Pseudohydromys occidentalis, RODENTIA Muridae Pseudomys occidentalis, RODENTIA Muridae Otomys occidentalis, SORICOMORPHA Talpidae Talpa occidentalis",_extinct_Equus occidentalis,,,extinct,,NA,NA,Perissodactyla,Equidae,Equus,occidentalis,western horse (another form of large stout legged horse),Equus occidentalis,5.759,574000,,286,,,,,NA,NA,NA,NA,NA,NA
7,"Genus level change. Taxonomy possibilities are: RODENTIA Cricetidae Oryzomys scotti, CHIROPTERA Vespertilionidae Myotis scotti",_extinct_Equus scotti,,,extinct,,NA,NA,Perissodactyla,Equidae,Equus,scotti,Scotts horse,Equus scotti,5.744,555000,,286,,,,,NA,NA,NA,NA,NA,NA
8,Genus level change. Taxonomy possibilities are: CHIROPTERA Hipposideridae Hipposideros inexpectatus,_extinct_Miracinonyx inexpectatus,,,extinct,,NA,NA,Carnivora,Canidae,Miracinonyx,inexpectatus,American cheetah,Miracinonyx inexpectatus,NA,NA,,284_ 285,,,,,NA,NA,NA,NA,NA,NA
9,Unchanged taxonomy.,AF_extant_Acinonyx jubatus,AF,,extant,,NA,NA,Carnivora,Felidae,Acinonyx,jubatus,,Acinonyx jubatus,4.637,43400,persecution_ habitat loss_ changes in food base,63_ 70_ 266,VU,,,,NA,NA,Acinonyx jubatus,Carn,t1,terr
10,Unchanged taxonomy.,AF_extant_Acomys cahirinus,AF,,extant,,NA,NA,Rodentia,Muridae,Acomys,cahirinus,,Acomys cahirinus,1.587,38.657,,60_ 128_ 130,,WT:27,,,NA,NA,Acomys cahirinus,frug/browse ,t1,terr
11,Unchanged taxonomy.,AF_extant_Acomys cineraceus,AF,,extant,,NA,NA,Rodentia,Muridae,Acomys,cineraceus,,Acomys cineraceus,-999,-999,,-999,,,,,NA,NA,Acomys cineraceus,frug/browse ,t1,
12,Unchanged taxonomy.,AF_extant_Acomys ignitus,AF,,extant,,NA,NA,Rodentia,Muridae,Acomys,ignitus,,Acomys ignitus,1.38,24,,Jake Goheen,,,,,NA,NA,Acomys ignitus,frug/browse ,t1,terr
13,Unchanged taxonomy.,AF_extant_Acomys kempi,AF,,extant,,NA,NA,Rodentia,Muridae,Acomys,kempi,,Acomys kempi,1.342,22,,109,,,,,NA,NA,Acomys kempi,frug/browse ,t1,terr
14,Unchanged taxonomy.,AF_extant_Acomys louisae,AF,,extant,,NA,NA,Rodentia,Muridae,Acomys,louisae,,Acomys louisae,1.305,20.2,,60,,,,,NA,NA,Acomys louisae,frug/browse ,t1,terr
15,Unchanged taxonomy.,AF_extant_Acomys mullah,AF,,extant,,NA,NA,Rodentia,Muridae,Acomys,mullah,,Acomys mullah,-999,-999,,-999,,,,,NA,NA,Acomys mullah,frug/browse ,t1,
16,Unchanged taxonomy.,AF_extant_Acomys percivali,AF,,extant,,NA,NA,Rodentia,Muridae,Acomys,percivali,,Acomys percivali,1.342,22,,109,,,,,NA,NA,Acomys percivali,frug/browse ,t1,terr
17,Unchanged taxonomy.,AF_extant_Acomys russatus,AF,,extant,,NA,NA,Rodentia,Muridae,Acomys,russatus,,Acomys russatus,1.697,49.75,,60_ 128,,,,,NA,NA,Acomys russatus,frug/browse ,t1,terr
18,Unchanged taxonomy.,AF_extant_Acomys spinosissimus,AF,,extant,,NA,NA,Rodentia,Muridae,Acomys,spinosissimus,,Acomys spinosissimus,1.423,26.5,,60,,,,,NA,NA,Acomys spinosissimus,frug/browse ,t1,terr
19,Unchanged taxonomy.,AF_extant_Acomys subspinosus,AF,,extant,,NA,NA,Rodentia,Muridae,Acomys,subspinosus,,Acomys subspinosus,1.322,21,,129_ 135,,,,,NA,NA,Acomys subspinosus,frug/browse ,t1,terr
20,Unchanged taxonomy.,AF_extant_Acomys wilsoni,AF,,extant,,NA,NA,Rodentia,Muridae,Acomys,wilsoni,,Acomys wilsoni,1.267,18.5,,60,,,,,NA,NA,Acomys wilsoni,frug/browse ,t1,terr
21,Unchanged taxonomy.,AF_extant_Addax nasomaculatus,AF,,extant,,NA,NA,Artiodactyla,Bovidae,Addax,nasomaculatus,,Addax nasomaculatus,4.845,70000.316,hunting,60,CR,,,,NA,NA,Addax nasomaculatus,graze,t1,terr
22,Unchanged taxonomy.,AF_extant_Aepyceros melampus,AF,,extant,,NA,NA,Artiodactyla,Bovidae,Aepyceros,melampus,,Aepyceros melampus,4.72,52500.084,hunting_ habitat loss_ hybridization,63_ 70,LR,,,,NA,NA,Aepyceros melampus,graze/browse,t1,terr
23,Unchanged taxonomy.,AF_extant_Aethomys bocagei,AF,angola,extant,,NA,NA,Rodentia,Muridae,Aethomys,bocagei,,Aethomys bocagei,-999,-999,,-999,,,,,NA,NA,Aethomys bocagei,graze/browse,t1,
24,Unchanged taxonomy.,AF_extant_Aethomys chrysophilus,AF,,extant,,NA,NA,Rodentia,Muridae,Aethomys,chrysophilus,,Aethomys chrysophilus,1.874,74.85,,129_ 260,,,,,NA,NA,Aethomys chrysophilus,graze/browse,t1,terr
25,"Genus level change. Taxonomy possibilities are: AFROSORICIDA Chrysochloridae Eremitalpa granti, PRIMATES Galagidae Galago granti, RODENTIA Muridae Batomys granti, RODENTIA Muridae Micaelamys granti, SORICOMORPHA Soricidae Sylvisorex granti, ARTIODACTYLA Bovidae Nanger granti",AF_extant_Aethomys granti,AF,South Africa,extant,,NA,NA,Rodentia,Muridae,Aethomys,granti,,Aethomys granti,1.602,40,,106,,,,,NA,NA,Aethomys granti,graze/browse,t1,terr
